state,dem_share,rep_share
AL,34.1,64.57
AK,41.41,54.54
AZ,46.69,52.22
AR,33.56,64.2
CA,58.47,38.33
CO,54.13,43.14
CT,56.4,41.89
DE,56.49,41.79
DC,90.28,6.47
FL,42.99,56.09
GA,48.53,50.72
HI,60.59,37.48
ID,30.38,66.87
IL,54.37,43.47
IN,39.62,58.58
IA,42.52,55.73
KS,41.04,57.16
KY,33.94,64.47
LA,38.21,60.22
MD,62.62,34.08
MA,61.22,36.02
MI,48.31,49.73
MN,50.92,46.68
MS,38,60.89
MO,40.08,58.49
MT,38.46,58.39
NV,47.49,50.59
NH,50.65,47.87
NJ,51.97,46.06
NM,51.85,45.85
NY,55.91,43.31
NC,47.65,50.86
ND,30.51,66.96
OH,43.93,55.14
OK,31.9,66.16
OR,55.27,40.97
PA,48.66,50.37
RI,55.54,41.76
SC,40.36,58.23
SD,34.24,63.43
TN,34.47,64.19
TX,42.46,56.14
UT,37.79,59.38
VT,63.83,32.32
VA,51.83,46.05
WA,57.23,39.01
WV,28.1,69.97
WI,48.74,49.6
WY,25.84,71.6
NE,38.86,59.32
ME,52.4,45.46
